zip,estimate,donations,total,donations_per_1000
21648,181,4,240,22.099447513812155
21233,0,28,238,Inf
22303,16321,5,236.17,0.30635377734207464
20894,0,13,230,Inf
22601,29306,14,226,0.4777178734730089
21130,21,7,225,333.3333333333333
20771,0,16,223,Inf
21250,2959,5,206,1.6897600540723217
22042,34860,41,200,1.176133103843947
21641,149,17,197,114.09395973154362
22738,1106,8,193,7.2332730560578655
20660,0,5,190,Inf
21824,253,16,166,63.241106719367586
2130,41479,4,163.31,0.09643434026856963
22306,32842,7,150.72,0.21314170878752814
22043,25843,10,140,0.3869519792593739
21251,319,9,134,28.213166144200628
20606,247,11,131.43,44.534412955465584
21560,0,8,127.17,Inf
21252,4456,9,120,2.0197486535008977
21781,41,2,110,48.78048780487805
2109,3559,2,105,0.561955605507165
21867,24,3,104,125
2134,17969,1,100,0.055651399632700764
22066,16925,1,100,0.059084194977843424
22310,29788,9,95,0.30213508795488114
21672,113,6,92,53.097345132743364
21810,160,3,90,18.75
22207,34647,2,88.25999999999999,0.05772505556036597
21538,571,17,85,29.7723292469352
21835,382,19,79,49.738219895287955
22314,35577,3,62,0.08432414200185513
22304,49711,3,60,0.06034881615738971
21540,94,1,56.18,10.638297872340425
22551,22035,2,55,0.09076469253460405
22740,861,1,48.26,1.1614401858304297
22204,52359,1,47,0.01909891327183483
21523,133,6,46,45.11278195488722
22663,1076,5,35,4.646840148698885
22602,32032,2,29.64,0.06243756243756244
22205,18523,2,29,0.10797387032338174
22554,62257,2,29,0.0321249016174888
21627,27,4,28,148.14814814814815
20889,158,2,28,12.658227848101266
2152,19031,1,25,0.05254584625085387
21862,0,2,20,Inf
22842,5647,1,20,0.17708517797060386
22315,29358,3,17,0.10218679746576742
22815,8954,1,15,0.11168192986374804
22124,18449,2,13,0.10840695972681447
22213,4150,3,12,0.7228915662650602
2129,19832,2,12,0.10084711577248891
21659,1225,1,10,0.8163265306122449
22150,27734,1,10,0.036056825557077954
22192,59238,1,10,0.016881056078868296
22701,35749,1,10,0.027972810428263727
21524,740,5,7,6.756756756756757
22407,62301,2,7,0.03210221344761721
